,Member Institution,Conference,Division
417,"Concordia University, St. Paul",Northern Sun Intercollegiate Conference,2
418,Converse College,Conference Carolinas,2
419,Daemen College,East Coast Conference,2
420,Dallas Baptist University,Lone Star Conference,2
421,Davenport University,Great Lakes Intercollegiate Athletic Conference,2
422,Davis & Elkins College,Mountain East Conference,2
423,Delta State University,Gulf South Conference,2
424,Dixie State University,Rocky Mountain Athletic Conference,2
425,Dominican College (New York),Central Atlantic Collegiate Conference,2
426,Dominican University of California,Pacific West Conference,2
427,Drury University,Great Lakes Valley Conference,2
428,East Central University,Great American Conference,2
429,East Stroudsburg University of Pennsylvania,Pennsylvania State Athletic Conference,2
430,Eastern New Mexico University,Lone Star Conference,2
431,Eckerd College,Sunshine State Conference,2
432,Edinboro University of Pennsylvania,Pennsylvania State Athletic Conference,2
433,Elizabeth City State University,Central Intercollegiate Athletic Association,2
434,Embry-Riddle Aeronautical University (Florida),Sunshine State Conference,2
435,Emmanuel College (Georgia),Conference Carolinas,2
436,Emporia State University,Mid-America Intercollegiate Athletics Association,2
437,Erskine College,Conference Carolinas,2
438,Fairmont State University,Mountain East Conference,2
439,Fayetteville State University,Central Intercollegiate Athletic Association,2
440,Felician University,Central Atlantic Collegiate Conference,2
441,Ferris State University,Great Lakes Intercollegiate Athletic Conference,2
442,Flagler College,Peach Belt Conference,2
443,Florida Institute of Technology,Sunshine State Conference,2
444,Florida Southern College,Sunshine State Conference,2
445,Fort Hays State University,Mid-America Intercollegiate Athletics Association,2
446,Fort Lewis College,Rocky Mountain Athletic Conference,2
447,Fort Valley State University,Southern Intercol. Ath. Conf.,2
448,Francis Marion University,Peach Belt Conference,2
449,Franklin Pierce University,Northeast-10 Conference,2
450,Fresno Pacific University,Pacific West Conference,2
451,Frostburg State University,Mountain East Conference,2
452,Gannon University,Pennsylvania State Athletic Conference,2
453,Georgia College,Peach Belt Conference,2
454,Georgia Southwestern State University,Peach Belt Conference,2
455,Georgian Court University,Central Atlantic Collegiate Conference,2
456,Glenville State College,Mountain East Conference,2
457,Goldey-Beacom College,Central Atlantic Collegiate Conference,2
458,Grand Valley State University,Great Lakes Intercollegiate Athletic Conference,2
459,Harding University,Great American Conference,2
460,Hawaii Pacific University,Pacific West Conference,2
461,Henderson State University,Great American Conference,2
462,Hillsdale College,Great Midwest Athletic Conference,2
463,Holy Family University,Central Atlantic Collegiate Conference,2
464,Holy Names University,Pacific West Conference,2
465,Humboldt State University,California Collegiate Athletic Association,2
466,Indiana University of Pennsylvania,Pennsylvania State Athletic Conference,2
467,Johnson C. Smith University,Central Intercollegiate Athletic Association,2
468,Kentucky State University,Southern Intercol. Ath. Conf.,2
469,Kentucky Wesleyan College,Great Midwest Athletic Conference,2
470,King University,Conference Carolinas,2
471,Kutztown University of Pennsylvania,Pennsylvania State Athletic Conference,2
472,Lake Erie College,Great Midwest Athletic Conference,2
473,Lake Superior State University,Great Lakes Intercollegiate Athletic Conference,2
474,Lander University,Peach Belt Conference,2
475,Lane College,Southern Intercol. Ath. Conf.,2
476,Le Moyne College,Northeast-10 Conference,2
477,Lee University,Gulf South Conference,2
478,Lees-McRae College,Conference Carolinas,2
479,LeMoyne-Owen College,Southern Intercol. Ath. Conf.,2
480,Lenoir-Rhyne University,South Atlantic Conference,2
481,Lewis University,Great Lakes Valley Conference,2
482,Limestone College,Conference Carolinas,2
483,Lincoln Memorial University,South Atlantic Conference,2
484,Lincoln University (Missouri),Mid-America Intercollegiate Athletics Association,2
485,Lincoln University (Pennsylvania),Central Intercollegiate Athletic Association,2
486,Lindenwood University,Great Lakes Valley Conference,2
487,Livingstone College,Central Intercollegiate Athletic Association,2
488,Lock Haven University of Pennsylvania,Pennsylvania State Athletic Conference,2
489,Lubbock Christian University,Lone Star Conference,2
490,Lynn University,Sunshine State Conference,2
491,Malone University,Great Midwest Athletic Conference,2
492,Mansfield University of Pennsylvania,Pennsylvania State Athletic Conference,2
493,Mars Hill University,South Atlantic Conference,2
494,Maryville University of Saint Louis,Great Lakes Valley Conference,2
495,McKendree University,Great Lakes Valley Conference,2
496,Mercy College,East Coast Conference,2
497,Mercyhurst University,Pennsylvania State Athletic Conference,2
498,Metropolitan State University of Denver,Rocky Mountain Athletic Conference,2
499,Michigan Technological University,Great Lakes Intercollegiate Athletic Conference,2
500,Midwestern State University,Lone Star Conference,2
501,Miles College,Southern Intercol. Ath. Conf.,2
502,Millersville University of Pennsylvania,Pennsylvania State Athletic Conference,2
503,Minnesota State University Moorhead,Northern Sun Intercollegiate Conference,2
504,"Minnesota State University, Mankato",Northern Sun Intercollegiate Conference,2
505,Minot State University,Northern Sun Intercollegiate Conference,2
506,Mississippi College,Gulf South Conference,2
507,Missouri Southern State University,Mid-America Intercollegiate Athletics Association,2
508,Missouri University of Science and Technology,Great Lakes Valley Conference,2
509,Missouri Western State University,Mid-America Intercollegiate Athletics Association,2
510,Molloy College,East Coast Conference,2
511,Montana State University Billings,Great Northwest Athletic Conference,2
512,Morehouse College,Southern Intercol. Ath. Conf.,2
513,New Mexico Highlands University,Rocky Mountain Athletic Conference,2
514,New York Institute of Technology,East Coast Conference,2
515,Newberry College,South Atlantic Conference,2
516,Newman University,Mid-America Intercollegiate Athletics Association,2
517,North Greenville University,Conference Carolinas,2
518,Northeastern State University,Mid-America Intercollegiate Athletics Association,2
519,Northern Michigan University,Great Lakes Intercollegiate Athletic Conference,2
520,Northern State University,Northern Sun Intercollegiate Conference,2
521,Northwest Missouri State University,Mid-America Intercollegiate Athletics Association,2
522,Northwest Nazarene University,Great Northwest Athletic Conference,2
523,Northwestern Oklahoma State University,Great American Conference,2
524,Northwood University,Great Lakes Intercollegiate Athletic Conference,2
525,Notre Dame College (Ohio),Mountain East Conference,2
526,Nova Southeastern University,Sunshine State Conference,2
527,Nyack College,Central Atlantic Collegiate Conference,2
528,Oakland City University,Independent,2
529,Ohio Dominican University,Great Midwest Athletic Conference,2
530,Ohio Valley University,Great Midwest Athletic Conference,2
531,Oklahoma Baptist University,Great American Conference,2
532,Oklahoma Christian University,Lone Star Conference,2
533,Ouachita Baptist University,Great American Conference,2
534,Pace University,Northeast-10 Conference,2
535,Paine College,Southern Intercol. Ath. Conf.,2
536,Palm Beach Atlantic University,Sunshine State Conference,2
537,Pittsburg State University,Mid-America Intercollegiate Athletics Association,2
538,Point Loma Nazarene University,Pacific West Conference,2
539,Post University,Central Atlantic Collegiate Conference,2
540,Purdue University Northwest,Great Lakes Intercollegiate Athletic Conference,2
541,Queens College (New York),East Coast Conference,2
542,Queens University of Charlotte,South Atlantic Conference,2
543,Quincy University,Great Lakes Valley Conference,2
544,Regis University (Colorado),Rocky Mountain Athletic Conference,2
545,Roberts Wesleyan College,East Coast Conference,2
546,Rockhurst University,Great Lakes Valley Conference,2
547,Rogers State University,Mid-America Intercollegiate Athletics Association,2
548,Rollins College,Sunshine State Conference,2
549,Saginaw Valley State University,Great Lakes Intercollegiate Athletic Conference,2
550,Saint Anselm College,Northeast-10 Conference,2
551,Saint Augustine's University,Central Intercollegiate Athletic Association,2
552,Saint Leo University,Sunshine State Conference,2
553,Saint Martin's University,Great Northwest Athletic Conference,2
554,Saint Michael's College,Northeast-10 Conference,2
555,Salem University (West Virginia),Independent,2
556,San Francisco State University,California Collegiate Athletic Association,2
557,Savannah State University,Southern Intercol. Ath. Conf.,2
558,Seattle Pacific University,Great Northwest Athletic Conference,2
559,Seton Hill University,Pennsylvania State Athletic Conference,2
560,Shaw University,Central Intercollegiate Athletic Association,2
561,Shepherd University,Pennsylvania State Athletic Conference,2
562,Shippensburg University of Pennsylvania,Pennsylvania State Athletic Conference,2
563,Shorter University,Gulf South Conference,2
564,Simon Fraser University,Great Northwest Athletic Conference,2
565,Slippery Rock University of Pennsylvania,Pennsylvania State Athletic Conference,2
566,Sonoma State University,California Collegiate Athletic Association,2
567,South Dakota School of Mines & Technology,Rocky Mountain Athletic Conference,2
568,Southeastern Oklahoma State University,Great American Conference,2
569,Southern Arkansas University,Great American Conference,2
570,Southern Connecticut State University,Northeast-10 Conference,2
571,Southern Nazarene University,Great American Conference,2
572,Southern New Hampshire University,Northeast-10 Conference,2
573,Southern Wesleyan University,Conference Carolinas,2
574,Southwest Baptist University,Great Lakes Valley Conference,2
575,Southwest Minnesota State University,Northern Sun Intercollegiate Conference,2
576,Southwestern Oklahoma State University,Great American Conference,2
577,Spring Hill College,Southern Intercol. Ath. Conf.,2
578,St. Cloud State University,Northern Sun Intercollegiate Conference,2
579,St. Edward's University,Lone Star Conference,2
580,St. Mary's University (Texas),Lone Star Conference,2
581,St. Thomas Aquinas College,East Coast Conference,2
582,Stonehill College,Northeast-10 Conference,2
583,Tarleton State University,Lone Star Conference,2
584,Texas A&M International University,Lone Star Conference,2
585,Texas A&M University-Commerce,Lone Star Conference,2
586,Texas A&M University-Kingsville,Lone Star Conference,2
587,Texas Woman's University,Lone Star Conference,2
588,The College of Saint Rose,Northeast-10 Conference,2
589,The University of Texas at Tyler,Lone Star Conference,2
